title,price
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (Red, 64 GB)","₹54,999"
"APPLE iPhone 13 (Pink, 256 GB)","₹83,999"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹54,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹54,999"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,179"
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,"₹1,49,900"
APPLE 2021 Macbook Pro M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1A3HN/A,"₹3,09,490"
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK1F3HN/A,"₹2,45,990"
APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),"₹30,900"
"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)","₹1,29,900"
"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","₹83,999"
"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 128 GB)","₹46,900"
"APPLE iPhone 13 Pro (Graphite, 256 GB)","₹1,29,900"
"APPLE iPhone 13 (Midnight, 256 GB)","₹83,999"
"APPLE iPhone 13 Mini (Midnight, 256 GB)","₹73,999"
"APPLE iPhone 13 (Green, 256 GB)","₹83,999"
"APPLE iPhone 13 Pro (Graphite, 512 GB)","₹1,49,900"
APPLE 2021 Macbook Pro M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1H3HN/A,"₹3,09,990"
APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP82HN/A,"₹1,81,490"
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,"₹2,26,490"
APPLE EarPods with 3.5mm Headphone Plug Wired Headset,"₹1,900"
"APPLE iPhone 12 Mini (Blue, 256 GB)","₹64,999"
"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","₹1,79,900"
"APPLE iPhone 13 Mini (Blue, 256 GB)","₹73,999"
"APPLE iPhone 13 mini (Green, 512 GB)","₹92,999"
"APPLE iPhone 13 Pro (Silver, 128 GB)","₹1,19,900"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 13 Mini (Pink, 256 GB)","₹73,999"
"APPLE iPhone 12 Mini (White, 256 GB)","₹64,999"
"APPLE iPhone 12 Pro (Silver, 128 GB)","₹1,09,900"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,"₹1,19,900"
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEP3HN/A,"₹1,29,900"
APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEJ3HN/A,"₹1,49,900"
APPLE Airpods (3rd Generation) Bluetooth Headset,"₹17,999"
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900"
"APPLE iPhone 11 (Yellow, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900"
"APPLE iPhone 12 Mini (Purple, 128 GB)","₹55,179"
"APPLE iPhone 12 Pro (Gold, 128 GB)","₹1,09,900"
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900"
"APPLE iPhone 13 Mini (Starlight, 512 GB)","₹93,199"
"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900"
APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEJ3HN/A,"₹1,49,900"
APPLE MacBook Pro Core i5 8th Gen - (8 GB/512 GB SSD/Mac OS Mojave) MV972HN/A,"₹1,62,990"
APPLE EarPods with 3.5mm Headphone Plug Wired Headset,"₹1,900"
"APPLE iPhone 13 Pro (Alpine Green, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (Purple, 256 GB)","₹64,999"
"APPLE iPhone 12 Mini (Black, 256 GB)","₹64,999"
"APPLE iPhone 12 Mini (White, 64 GB)","₹54,999"
"APPLE iPhone 13 Pro (Silver, 256 GB)","₹1,29,900"
"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","₹1,79,900"
"APPLE iPhone 13 Pro (Silver, 512 GB)","₹1,49,900"
"APPLE iPhone 12 (Blue, 256 GB)","₹74,999"
"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)","₹1,59,900"
APPLE MX532ZM/A Airtag Safety Smart Tracker,"₹3,100"
"APPLE iPhone SE (Red, 256 GB)","₹45,099"
"APPLE iPhone 12 Pro (Graphite, 256 GB)","₹1,19,900"
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)","₹1,49,900"
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900"
"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","₹1,04,249"
"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)","₹1,69,900"
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)","₹1,17,100"
"APPLE iPhone 13 Pro (Sierra Blue, 128 GB)","₹1,19,900"
APPLE Lightning Cable 1 A 1 m MXLY2ZM/A,"₹1,699"
"APPLE iPhone SE (Black, 256 GB)","₹45,099"
"APPLE iPhone 8 Plus (Gold, 64 GB)","₹49,900"
"APPLE iPhone 13 Pro (Gold, 1 TB)","₹1,69,900"
"APPLE iPhone 12 Pro (Graphite, 512 GB)","₹1,39,900"
"APPLE iPhone 13 (Pink, 512 GB)","₹1,04,249"
"APPLE iPhone 13 Mini (Pink, 512 GB)","₹93,199"
"APPLE iPhone 7 Plus (Black, 32 GB)","₹37,249"
"APPLE iPhone 13 Mini (Midnight, 512 GB)","₹93,199"
APPLE HomePod Mini with Siri Assistant Smart Speaker,"₹8,499"
